number,Timings,season,round,raceName,date,circuit_id,circuit_name,circuit_location,circuit_country
1,"[{'driverId': 'max_verstappen', 'position': '1', 'time': '1:34.338'}, {'driverId': 'leclerc', 'position': '2', 'time': '1:35.697'}, {'driverId': 'piastri', 'position': '3', 'time': '1:36.848'}, {'driverId': 'sainz', 'position': '4', 'time': '1:37.234'}, {'driverId': 'perez', 'position': '5', 'time': '1:38.282'}, {'driverId': 'norris', 'position': '6', 'time': '1:38.919'}, {'driverId': 'hamilton', 'position': '7', 'time': '1:39.924'}, {'driverId': 'hulkenberg', 'position': '8', 'time': '1:40.159'}, {'driverId': 'tsunoda', 'position': '9', 'time': '1:41.055'}, {'driverId': 'russell', 'position': '10', 'time': '1:41.627'}, {'driverId': 'stroll', 'position': '11', 'time': '1:42.004'}, {'driverId': 'alonso', 'position': '12', 'time': '1:43.024'}, {'driverId': 'gasly', 'position': '13', 'time': '1:43.357'}, {'driverId': 'ocon', 'position': '14', 'time': '1:43.733'}, {'driverId': 'albon', 'position': '15', 'time': '1:43.958'}, {'driverId': 'sargeant', 'position': '16', 'time': '1:44.320'}, {'driverId': 'kevin_magnussen', 'position': '17', 'time': '1:44.924'}, {'driverId': 'zhou', 'position': '18', 'time': '1:45.046'}, {'driverId': 'bottas', 'position': '19', 'time': '1:45.784'}, {'driverId': 'ricciardo', 'position': '20', 'time': '1:46.666'}]",2024,6,Miami Grand Prix,2024-05-05,miami,Miami International Autodrome,Miami,USA
2,"[{'driverId': 'max_verstappen', 'position': '1', 'time': '1:33.093'}, {'driverId': 'leclerc', 'position': '2', 'time': '1:33.317'}, {'driverId': 'piastri', 'position': '3', 'time': '1:32.827'}, {'driverId': 'sainz', 'position': '4', 'time': '1:32.990'}, {'driverId': 'perez', 'position': '5', 'time': '1:33.181'}, {'driverId': 'norris', 'position': '6', 'time': '1:34.199'}, {'driverId': 'hulkenberg', 'position': '7', 'time': '1:33.938'}, {'driverId': 'hamilton', 'position': '8', 'time': '1:34.966'}, {'driverId': 'tsunoda', 'position': '9', 'time': '1:34.337'}, {'driverId': 'russell', 'position': '10', 'time': '1:34.395'}]",2024,6,Miami Grand Prix,2024-05-05,miami,Miami International Autodrome,Miami,USA
1,"[{'driverId': 'max_verstappen', 'position': '1', 'time': '1:22.881'}, {'driverId': 'norris', 'position': '2', 'time': '1:23.764'}, {'driverId': 'leclerc', 'position': '3', 'time': '1:24.580'}, {'driverId': 'sainz', 'position': '4', 'time': '1:25.149'}, {'driverId': 'piastri', 'position': '5', 'time': '1:25.726'}, {'driverId': 'russell', 'position': '6', 'time': '1:26.498'}, {'driverId': 'hamilton', 'position': '7', 'time': '1:27.111'}, {'driverId': 'hulkenberg', 'position': '8', 'time': '1:27.748'}, {'driverId': 'tsunoda', 'position': '9', 'time': '1:28.256'}, {'driverId': 'perez', 'position': '10', 'time': '1:28.775'}, {'driverId': 'ricciardo', 'position': '11', 'time': '1:29.351'}, {'driverId': 'ocon', 'position': '12', 'time': '1:29.949'}, {'driverId': 'stroll', 'position': '13', 'time': '1:30.475'}, {'driverId': 'albon', 'position': '14', 'time': '1:31.012'}, {'driverId': 'gasly', 'position': '15', 'time': '1:31.369'}, {'driverId': 'kevin_magnussen', 'position': '16', 'time': '1:31.891'}, {'driverId': 'bottas', 'position': '17', 'time': '1:32.273'}, {'driverId': 'zhou', 'position': '18', 'time': '1:32.781'}, {'driverId': 'sargeant', 'position': '19', 'time': '1:33.076'}, {'driverId': 'alonso', 'position': '20', 'time': '1:33.648'}]",2024,7,Emilia Romagna Grand Prix,2024-05-19,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy
2,"[{'driverId': 'max_verstappen', 'position': '1', 'time': '1:20.596'}, {'driverId': 'norris', 'position': '2', 'time': '1:20.673'}, {'driverId': 'leclerc', 'position': '3', 'time': '1:20.926'}, {'driverId': 'sainz', 'position': '4', 'time': '1:21.102'}, {'driverId': 'piastri', 'position': '5', 'time': '1:21.311'}, {'driverId': 'russell', 'position': '6', 'time': '1:21.562'}, {'driverId': 'hamilton', 'position': '7', 'time': '1:21.841'}, {'driverId': 'hulkenberg', 'position': '8', 'time': '1:22.111'}, {'driverId': 'tsunoda', 'position': '9', 'time': '1:22.366'}, {'driverId': 'perez', 'position': '10', 'time': '1:22.599'}]",2024,7,Emilia Romagna Grand Prix,2024-05-19,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy
1,"[{'driverId': 'leclerc', 'position': '1', 'time': '40:56.330'}, {'driverId': 'piastri', 'position': '2', 'time': '40:58.744'}, {'driverId': 'sainz', 'position': '3', 'time': '41:02.721'}, {'driverId': 'norris', 'position': '4', 'time': '41:08.042'}, {'driverId': 'russell', 'position': '5', 'time': '41:13.884'}, {'driverId': 'max_verstappen', 'position': '6', 'time': '41:18.944'}, {'driverId': 'hamilton', 'position': '7', 'time': '41:23.804'}, {'driverId': 'tsunoda', 'position': '8', 'time': '41:28.609'}, {'driverId': 'albon', 'position': '9', 'time': '41:34.817'}, {'driverId': 'gasly', 'position': '10', 'time': '41:37.695'}, {'driverId': 'stroll', 'position': '11', 'time': '41:42.648'}, {'driverId': 'ricciardo', 'position': '12', 'time': '41:47.607'}, {'driverId': 'alonso', 'position': '13', 'time': '41:53.184'}, {'driverId': 'sargeant', 'position': '14', 'time': '41:56.858'}, {'driverId': 'bottas', 'position': '15', 'time': '42:01.748'}, {'driverId': 'zhou', 'position': '16', 'time': '42:06.253'}]",2024,8,Monaco Grand Prix,2024-05-26,monaco,Circuit de Monaco,Monte-Carlo,Monaco
2,"[{'driverId': 'leclerc', 'position': '1', 'time': '2:57.857'}, {'driverId': 'piastri', 'position': '2', 'time': '2:56.127'}, {'driverId': 'sainz', 'position': '3', 'time': '2:52.664'}, {'driverId': 'norris', 'position': '4', 'time': '2:47.666'}, {'driverId': 'russell', 'position': '5', 'time': '2:42.166'}, {'driverId': 'max_verstappen', 'position': '6', 'time': '2:37.443'}, {'driverId': 'hamilton', 'position': '7', 'time': '2:32.812'}, {'driverId': 'tsunoda', 'position': '8', 'time': '2:28.277'}, {'driverId': 'albon', 'position': '9', 'time': '2:22.255'}, {'driverId': 'gasly', 'position': '10', 'time': '2:19.618'}, {'driverId': 'stroll', 'position': '11', 'time': '2:14.844'}, {'driverId': 'ricciardo', 'position': '12', 'time': '2:10.108'}, {'driverId': 'alonso', 'position': '13', 'time': '2:04.571'}, {'driverId': 'sargeant', 'position': '14', 'time': '2:01.235'}]",2024,8,Monaco Grand Prix,2024-05-26,monaco,Circuit de Monaco,Monte-Carlo,Monaco
1,"[{'driverId': 'russell', 'position': '1', 'time': '1:43.723'}, {'driverId': 'max_verstappen', 'position': '2', 'time': '1:44.993'}, {'driverId': 'norris', 'position': '3', 'time': '1:46.722'}, {'driverId': 'piastri', 'position': '4', 'time': '1:48.458'}, {'driverId': 'alonso', 'position': '5', 'time': '1:49.289'}, {'driverId': 'hamilton', 'position': '6', 'time': '1:50.160'}, {'driverId': 'ricciardo', 'position': '7', 'time': '1:51.305'}, {'driverId': 'kevin_magnussen', 'position': '8', 'time': '1:51.827'}, {'driverId': 'stroll', 'position': '9', 'time': '1:53.082'}, {'driverId': 'leclerc', 'position': '10', 'time': '1:54.412'}, {'driverId': 'tsunoda', 'position': '11', 'time': '1:54.705'}, {'driverId': 'albon', 'position': '12', 'time': '1:55.787'}, {'driverId': 'hulkenberg', 'position': '13', 'time': '1:56.135'}, {'driverId': 'sainz', 'position': '14', 'time': '1:57.663'}, {'driverId': 'sargeant', 'position': '15', 'time': '1:57.685'}, {'driverId': 'ocon', 'position': '16', 'time': '1:58.926'}, {'driverId': 'perez', 'position': '17', 'time': '2:00.060'}, {'driverId': 'gasly', 'position': '18', 'time': '2:00.661'}, {'driverId': 'bottas', 'position': '19', 'time': '2:01.807'}, {'driverId': 'zhou', 'position': '20', 'time': '2:03.563'}]",2024,9,Canadian Grand Prix,2024-06-09,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada
2,"[{'driverId': 'russell', 'position': '1', 'time': '1:36.556'}, {'driverId': 'max_verstappen', 'position': '2', 'time': '1:37.672'}, {'driverId': 'norris', 'position': '3', 'time': '1:38.203'}, {'driverId': 'piastri', 'position': '4', 'time': '1:38.591'}, {'driverId': 'kevin_magnussen', 'position': '5', 'time': '1:36.793'}, {'driverId': 'alonso', 'position': '6', 'time': '1:40.628'}, {'driverId': 'hamilton', 'position': '7', 'time': '1:40.379'}, {'driverId': 'ricciardo', 'position': '8', 'time': '1:41.606'}, {'driverId': 'stroll', 'position': '9', 'time': '1:40.966'}, {'driverId': 'hulkenberg', 'position': '10', 'time': '1:38.640'}]",2024,9,Canadian Grand Prix,2024-06-09,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada
1,"[{'driverId': 'russell', 'position': '1', 'time': '1:22.568'}, {'driverId': 'max_verstappen', 'position': '2', 'time': '1:23.186'}, {'driverId': 'norris', 'position': '3', 'time': '1:23.953'}, {'driverId': 'hamilton', 'position': '4', 'time': '1:24.441'}, {'driverId': 'leclerc', 'position': '5', 'time': '1:25.423'}, {'driverId': 'sainz', 'position': '6', 'time': '1:26.085'}, {'driverId': 'gasly', 'position': '7', 'time': '1:26.584'}, {'driverId': 'piastri', 'position': '8', 'time': '1:27.073'}, {'driverId': 'ocon', 'position': '9', 'time': '1:27.460'}, {'driverId': 'hulkenberg', 'position': '10', 'time': '1:27.970'}, {'driverId': 'perez', 'position': '11', 'time': '1:28.615'}, {'driverId': 'alonso', 'position': '12', 'time': '1:29.190'}, {'driverId': 'stroll', 'position': '13', 'time': '1:29.606'}, {'driverId': 'bottas', 'position': '14', 'time': '1:30.001'}, {'driverId': 'tsunoda', 'position': '15', 'time': '1:30.324'}, {'driverId': 'kevin_magnussen', 'position': '16', 'time': '1:30.633'}, {'driverId': 'zhou', 'position': '17', 'time': '1:31.052'}, {'driverId': 'sargeant', 'position': '18', 'time': '1:31.507'}, {'driverId': 'ricciardo', 'position': '19', 'time': '1:31.751'}, {'driverId': 'albon', 'position': '20', 'time': '1:33.920'}]",2024,10,Spanish Grand Prix,2024-06-23,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain
2,"[{'driverId': 'russell', 'position': '1', 'time': '1:19.857'}, {'driverId': 'max_verstappen', 'position': '2', 'time': '1:19.871'}, {'driverId': 'norris', 'position': '3', 'time': '1:20.215'}, {'driverId': 'hamilton', 'position': '4', 'time': '1:20.594'}, {'driverId': 'leclerc', 'position': '5', 'time': '1:20.842'}, {'driverId': 'sainz', 'position': '6', 'time': '1:20.666'}, {'driverId': 'gasly', 'position': '7', 'time': '1:21.157'}, {'driverId': 'piastri', 'position': '8', 'time': '1:21.607'}, {'driverId': 'ocon', 'position': '9', 'time': '1:22.017'}, {'driverId': 'hulkenberg', 'position': '10', 'time': '1:22.084'}]",2024,10,Spanish Grand Prix,2024-06-23,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain
1,"[{'driverId': 'max_verstappen', 'position': '1', 'time': '1:12.050'}, {'driverId': 'norris', 'position': '2', 'time': '1:13.371'}, {'driverId': 'russell', 'position': '3', 'time': '1:14.401'}, {'driverId': 'hamilton', 'position': '4', 'time': '1:14.840'}, {'driverId': 'sainz', 'position': '5', 'time': '1:15.456'}, {'driverId': 'perez', 'position': '6', 'time': '1:16.225'}, {'driverId': 'piastri', 'position': '7', 'time': '1:16.950'}, {'driverId': 'ocon', 'position': '8', 'time': '1:17.703'}, {'driverId': 'hulkenberg', 'position': '9', 'time': '1:18.420'}, {'driverId': 'kevin_magnussen', 'position': '10', 'time': '1:18.826'}, {'driverId': 'gasly', 'position': '11', 'time': '1:19.109'}, {'driverId': 'ricciardo', 'position': '12', 'time': '1:19.507'}, {'driverId': 'alonso', 'position': '13', 'time': '1:19.908'}, {'driverId': 'tsunoda', 'position': '14', 'time': '1:20.095'}, {'driverId': 'albon', 'position': '15', 'time': '1:20.507'}, {'driverId': 'bottas', 'position': '16', 'time': '1:20.918'}, {'driverId': 'stroll', 'position': '17', 'time': '1:21.132'}, {'driverId': 'leclerc', 'position': '18', 'time': '1:22.085'}, {'driverId': 'zhou', 'position': '19', 'time': '1:24.058'}, {'driverId': 'sargeant', 'position': '20', 'time': '1:24.605'}]",2024,11,Austrian Grand Prix,2024-06-30,red_bull_ring,Red Bull Ring,Spielberg,Austria
2,"[{'driverId': 'max_verstappen', 'position': '1', 'time': '1:09.938'}, {'driverId': 'norris', 'position': '2', 'time': '1:09.813'}, {'driverId': 'russell', 'position': '3', 'time': '1:10.580'}, {'driverId': 'hamilton', 'position': '4', 'time': '1:10.530'}, {'driverId': 'sainz', 'position': '5', 'time': '1:10.719'}, {'driverId': 'perez', 'position': '6', 'time': '1:10.621'}, {'driverId': 'piastri', 'position': '7', 'time': '1:10.541'}, {'driverId': 'hulkenberg', 'position': '8', 'time': '1:10.217'}, {'driverId': 'ocon', 'position': '9', 'time': '1:11.478'}, {'driverId': 'kevin_magnussen', 'position': '10', 'time': '1:11.184'}]",2024,11,Austrian Grand Prix,2024-06-30,red_bull_ring,Red Bull Ring,Spielberg,Austria
1,"[{'driverId': 'russell', 'position': '1', 'time': '1:35.211'}, {'driverId': 'hamilton', 'position': '2', 'time': '1:36.034'}, {'driverId': 'max_verstappen', 'position': '3', 'time': '1:36.711'}, {'driverId': 'norris', 'position': '4', 'time': '1:37.347'}, {'driverId': 'piastri', 'position': '5', 'time': '1:38.008'}, {'driverId': 'sainz', 'position': '6', 'time': '1:38.699'}, {'driverId': 'stroll', 'position': '7', 'time': '1:39.108'}, {'driverId': 'leclerc', 'position': '8', 'time': '1:39.663'}, {'driverId': 'hulkenberg', 'position': '9', 'time': '1:40.166'}, {'driverId': 'alonso', 'position': '10', 'time': '1:40.474'}, {'driverId': 'tsunoda', 'position': '11', 'time': '1:41.109'}, {'driverId': 'albon', 'position': '12', 'time': '1:41.588'}, {'driverId': 'sargeant', 'position': '13', 'time': '1:41.772'}, {'driverId': 'zhou', 'position': '14', 'time': '1:42.231'}, {'driverId': 'ricciardo', 'position': '15', 'time': '1:42.715'}, {'driverId': 'ocon', 'position': '16', 'time': '1:43.052'}, {'driverId': 'kevin_magnussen', 'position': '17', 'time': '1:43.681'}, {'driverId': 'bottas', 'position': '18', 'time': '1:44.290'}, {'driverId': 'perez', 'position': '19', 'time': '1:49.458'}]",2024,12,British Grand Prix,2024-07-07,silverstone,Silverstone Circuit,Silverstone,UK
2,"[{'driverId': 'russell', 'position': '1', 'time': '1:31.418'}, {'driverId': 'hamilton', 'position': '2', 'time': '1:31.420'}, {'driverId': 'max_verstappen', 'position': '3', 'time': '1:31.773'}, {'driverId': 'norris', 'position': '4', 'time': '1:32.188'}, {'driverId': 'piastri', 'position': '5', 'time': '1:32.361'}, {'driverId': 'sainz', 'position': '6', 'time': '1:32.359'}, {'driverId': 'stroll', 'position': '7', 'time': '1:32.683'}, {'driverId': 'leclerc', 'position': '8', 'time': '1:32.858'}, {'driverId': 'hulkenberg', 'position': '9', 'time': '1:32.844'}, {'driverId': 'alonso', 'position': '10', 'time': '1:33.202'}, {'driverId': 'tsunoda', 'position': '11', 'time': '1:33.214'}]",2024,12,British Grand Prix,2024-07-07,silverstone,Silverstone Circuit,Silverstone,UK
1,"[{'driverId': 'piastri', 'position': '1', 'time': '1:26.746'}, {'driverId': 'max_verstappen', 'position': '2', 'time': '1:28.336'}, {'driverId': 'norris', 'position': '3', 'time': '1:29.389'}, {'driverId': 'hamilton', 'position': '4', 'time': '1:30.241'}, {'driverId': 'leclerc', 'position': '5', 'time': '1:31.218'}, {'driverId': 'alonso', 'position': '6', 'time': '1:31.876'}, {'driverId': 'sainz', 'position': '7', 'time': '1:32.367'}, {'driverId': 'stroll', 'position': '8', 'time': '1:32.820'}, {'driverId': 'albon', 'position': '9', 'time': '1:33.240'}, {'driverId': 'kevin_magnussen', 'position': '10', 'time': '1:33.837'}, {'driverId': 'ricciardo', 'position': '11', 'time': '1:34.329'}, {'driverId': 'tsunoda', 'position': '12', 'time': '1:35.046'}, {'driverId': 'bottas', 'position': '13', 'time': '1:35.430'}, {'driverId': 'hulkenberg', 'position': '14', 'time': '1:35.921'}, {'driverId': 'ocon', 'position': '15', 'time': '1:36.411'}, {'driverId': 'russell', 'position': '16', 'time': '1:36.915'}, {'driverId': 'perez', 'position': '17', 'time': '1:37.441'}, {'driverId': 'sargeant', 'position': '18', 'time': '1:37.623'}, {'driverId': 'zhou', 'position': '19', 'time': '1:37.963'}, {'driverId': 'gasly', 'position': '20', 'time': '1:38.598'}]",2024,13,Hungarian Grand Prix,2024-07-21,hungaroring,Hungaroring,Budapest,Hungary
