driverId,url,givenName,familyName,dateOfBirth,nationality,permanentNumber,code
ascari,http://en.wikipedia.org/wiki/Alberto_Ascari,Alberto,Ascari,1918-07-13,Italian,,
ashdown,http://en.wikipedia.org/wiki/Peter_Ashdown,Peter,Ashdown,1934-10-16,British,,
ashley,http://en.wikipedia.org/wiki/Ian_Ashley,Ian,Ashley,1947-10-26,British,,
ashmore,http://en.wikipedia.org/wiki/Gerry_Ashmore,Gerry,Ashmore,1936-07-25,British,,
aston,http://en.wikipedia.org/wiki/Bill_Aston,Bill,Aston,1900-03-29,British,,
attwood,http://en.wikipedia.org/wiki/Richard_Attwood,Richard,Attwood,1940-04-04,British,,
ayulo,http://en.wikipedia.org/wiki/Manny_Ayulo,Manny,Ayulo,1921-10-20,American,,
badoer,http://en.wikipedia.org/wiki/Luca_Badoer,Luca,Badoer,1971-01-25,Italian,,BAD
baghetti,http://en.wikipedia.org/wiki/Giancarlo_Baghetti,Giancarlo,Baghetti,1934-12-25,Italian,,
bailey,http://en.wikipedia.org/wiki/Julian_Bailey,Julian,Bailey,1961-10-09,British,,
baldi,http://en.wikipedia.org/wiki/Mauro_Baldi,Mauro,Baldi,1954-01-31,Italian,,
ball,http://en.wikipedia.org/wiki/Bobby_Ball_(auto_racer),Bobby,Ball,1925-08-26,American,,
balsa,http://en.wikipedia.org/wiki/Marcel_Balsa,Marcel,Balsa,1909-01-01,French,,
bandini,http://en.wikipedia.org/wiki/Lorenzo_Bandini,Lorenzo,Bandini,1935-12-21,Italian,,
banks,http://en.wikipedia.org/wiki/Henry_Banks,Henry,Banks,1913-06-14,American,,
barbazza,http://en.wikipedia.org/wiki/Fabrizio_Barbazza,Fabrizio,Barbazza,1963-04-02,Italian,,
john_barber,http://en.wikipedia.org/wiki/John_Barber_(racing_driver),John,Barber,1929-07-22,British,,
barber,http://en.wikipedia.org/wiki/Skip_Barber,Skip,Barber,1936-11-16,American,,
barilla,http://en.wikipedia.org/wiki/Paolo_Barilla,Paolo,Barilla,1961-04-20,Italian,,
barrichello,http://en.wikipedia.org/wiki/Rubens_Barrichello,Rubens,Barrichello,1972-05-23,Brazilian,,BAR
bartels,http://en.wikipedia.org/wiki/Michael_Bartels,Michael,Bartels,1968-03-08,German,,
barth,http://en.wikipedia.org/wiki/Edgar_Barth,Edgar,Barth,1917-01-26,German,,
bassi,http://en.wikipedia.org/wiki/Giorgio_Bassi,Giorgio,Bassi,1934-01-20,Italian,,
bauer,http://en.wikipedia.org/wiki/Erwin_Bauer,Erwin,Bauer,1912-07-17,German,,
baumgartner,http://en.wikipedia.org/wiki/Zsolt_Baumgartner,Zsolt,Baumgartner,1981-01-01,Hungarian,,
bayol,http://en.wikipedia.org/wiki/%C3%89lie_Bayol,Élie,Bayol,1914-02-28,French,,
bearman,http://en.wikipedia.org/wiki/Oliver_Bearman,Oliver,Bearman,2005-05-08,British,87,BEA
beauman,http://en.wikipedia.org/wiki/Don_Beauman,Don,Beauman,1928-07-26,British,,
bechem,http://en.wikipedia.org/wiki/G%C3%BCnther_Bechem,Günther,Bechem,1921-12-21,German,,
behra,http://en.wikipedia.org/wiki/Jean_Behra,Jean,Behra,1921-02-16,French,,
bell,http://en.wikipedia.org/wiki/Derek_Bell_(auto_racer),Derek,Bell,1941-10-31,British,,
bellof,http://en.wikipedia.org/wiki/Stefan_Bellof,Stefan,Bellof,1957-11-20,German,,
belmondo,http://en.wikipedia.org/wiki/Paul_Belmondo,Paul,Belmondo,1963-04-23,French,,
belso,http://en.wikipedia.org/wiki/Tom_Bels%C3%B8,Tom,Belsø,1942-08-27,Danish,,
beltoise,http://en.wikipedia.org/wiki/Jean-Pierre_Beltoise,Jean-Pierre,Beltoise,1937-04-26,French,,
beretta,http://en.wikipedia.org/wiki/Olivier_Beretta,Olivier,Beretta,1969-11-23,Monegasque,,
berg,http://en.wikipedia.org/wiki/Allen_Berg,Allen,Berg,1961-08-01,Canadian,,
georges_berger,http://en.wikipedia.org/wiki/Georges_Berger,Georges,Berger,1918-09-14,Belgian,,
berger,http://en.wikipedia.org/wiki/Gerhard_Berger,Gerhard,Berger,1959-08-27,Austrian,,
bernard,http://en.wikipedia.org/wiki/%C3%89ric_Bernard,Éric,Bernard,1964-08-24,French,,
bernoldi,http://en.wikipedia.org/wiki/Enrique_Bernoldi,Enrique,Bernoldi,1978-10-19,Brazilian,,
bertaggia,http://en.wikipedia.org/wiki/Enrico_Bertaggia,Enrico,Bertaggia,1964-09-19,Italian,,
bettenhausen,http://en.wikipedia.org/wiki/Tony_Bettenhausen,Tony,Bettenhausen,1916-09-12,American,,
beuttler,http://en.wikipedia.org/wiki/Mike_Beuttler,Mike,Beuttler,1940-04-13,British,,
bianchi,http://en.wikipedia.org/wiki/Lucien_Bianchi,Lucien,Bianchi,1934-11-10,Belgian,,BIA
jules_bianchi,http://en.wikipedia.org/wiki/Jules_Bianchi,Jules,Bianchi,1989-08-03,French,17,BIA
bianco,http://en.wikipedia.org/wiki/Gino_Bianco,Gino,Bianco,1916-07-22,Brazilian,,
binder,http://en.wikipedia.org/wiki/Hans_Binder,Hans,Binder,1948-06-12,Austrian,,
biondetti,http://en.wikipedia.org/wiki/Clemente_Biondetti,Clemente,Biondetti,1898-08-18,Italian,,
bira,http://en.wikipedia.org/wiki/Prince_Bira,Prince,Bira,1914-07-15,Thai,,
birger,http://en.wikipedia.org/wiki/Pablo_Birger,Pablo,Birger,1924-01-07,Argentine,,
bisch,http://en.wikipedia.org/wiki/Art_Bisch,Art,Bisch,1926-11-10,American,,
blanchard,http://en.wikipedia.org/wiki/Harry_Blanchard,Harry,Blanchard,1929-06-13,American,,
bleekemolen,http://en.wikipedia.org/wiki/Michael_Bleekemolen,Michael,Bleekemolen,1949-10-02,Dutch,,
blignaut,http://en.wikipedia.org/wiki/Alex_Blignaut,Alex,Blignaut,1932-11-30,South African,,
blokdyk,http://en.wikipedia.org/wiki/Trevor_Blokdyk,Trevor,Blokdyk,1935-11-30,South African,,
blundell,http://en.wikipedia.org/wiki/Mark_Blundell,Mark,Blundell,1966-04-08,British,,
boesel,http://en.wikipedia.org/wiki/Raul_Boesel,Raul,Boesel,1957-12-04,Brazilian,,
boffa,http://en.wikipedia.org/wiki/Menato_Boffa,Menato,Boffa,1930-01-04,Italian,,
bondurant,http://en.wikipedia.org/wiki/Bob_Bondurant,Bob,Bondurant,1933-04-27,American,,
bonetto,http://en.wikipedia.org/wiki/Felice_Bonetto,Felice,Bonetto,1903-06-09,Italian,,
bonnier,http://en.wikipedia.org/wiki/Joakim_Bonnier,Jo,Bonnier,1930-01-31,Swedish,,
bonomi,http://en.wikipedia.org/wiki/Roberto_Bonomi,Roberto,Bonomi,1919-09-30,Argentine,,
bordeu,http://en.wikipedia.org/wiki/Juan_Manuel_Bordeu,Juan Manuel,Bordeu,1934-01-28,Argentine,,
borgudd,http://en.wikipedia.org/wiki/Slim_Borgudd,Slim,Borgudd,1946-11-25,Swedish,,
bortoleto,https://en.wikipedia.org/wiki/Gabriel_Bortoleto,Gabriel,Bortoleto,2004-10-14,Brazilian,5,BOR
botha,http://en.wikipedia.org/wiki/Luki_Botha,Luki,Botha,1930-01-16,South African,,
bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,Valtteri,Bottas,1989-08-28,Finnish,77,BOT
